,Year,Team,Wins,Losses,Percent,Games Back,PPG,OPPG,SRS
0,2023,Milwaukee Bucks,58,24,.707,—,116.9,113.3,3.61
1,2023,Boston Celtics,57,25,.695,1.0,117.9,111.4,6.38
2,2023,Philadelphia 76ers,54,28,.659,4.0,115.2,110.9,4.37
3,2023,Cleveland Cavaliers,51,31,.622,7.0,112.3,106.9,5.23
4,2023,New York Knicks,47,35,.573,11.0,116.0,113.1,2.99
5,2023,Brooklyn Nets,45,37,.549,13.0,113.4,112.5,1.03
6,2023,Miami Heat,44,38,.537,14.0,109.5,109.8,-0.13
7,2023,Atlanta Hawks,41,41,.500,17.0,118.4,118.1,0.32
8,2023,Toronto Raptors,41,41,.500,17.0,112.9,111.4,1.59
9,2023,Chicago Bulls,40,42,.488,18.0,113.1,111.8,1.37
10,2023,Indiana Pacers,35,47,.427,23.0,116.3,119.5,-2.91
11,2023,Washington Wizards,35,47,.427,23.0,113.2,114.4,-1.06
12,2023,Orlando Magic,34,48,.415,24.0,111.4,114.0,-2.39
13,2023,Charlotte Hornets,27,55,.329,31.0,111.0,117.2,-5.89
14,2023,Detroit Pistons,17,65,.207,41.0,110.3,118.5,-7.73
15,2023,Milwaukee Bucks,58,24,.707,—,116.9,113.3,3.61
16,2023,Boston Celtics,57,25,.695,1.0,117.9,111.4,6.38
17,2023,Philadelphia 76ers,54,28,.659,4.0,115.2,110.9,4.37
18,2023,Cleveland Cavaliers,51,31,.622,7.0,112.3,106.9,5.23
19,2023,New York Knicks,47,35,.573,11.0,116.0,113.1,2.99
20,2023,Brooklyn Nets,45,37,.549,13.0,113.4,112.5,1.03
21,2023,Miami Heat,44,38,.537,14.0,109.5,109.8,-0.13
22,2023,Atlanta Hawks,41,41,.500,17.0,118.4,118.1,0.32
23,2023,Toronto Raptors,41,41,.500,17.0,112.9,111.4,1.59
24,2023,Chicago Bulls,40,42,.488,18.0,113.1,111.8,1.37
25,2023,Indiana Pacers,35,47,.427,23.0,116.3,119.5,-2.91
26,2023,Washington Wizards,35,47,.427,23.0,113.2,114.4,-1.06
27,2023,Orlando Magic,34,48,.415,24.0,111.4,114.0,-2.39
28,2023,Charlotte Hornets,27,55,.329,31.0,111.0,117.2,-5.89
29,2023,Detroit Pistons,17,65,.207,41.0,110.3,118.5,-7.73
30,2023,Milwaukee Bucks,58,24,.707,—,116.9,113.3,3.61
31,2023,Boston Celtics,57,25,.695,1.0,117.9,111.4,6.38
32,2023,Philadelphia 76ers,54,28,.659,4.0,115.2,110.9,4.37
33,2023,Cleveland Cavaliers,51,31,.622,7.0,112.3,106.9,5.23
34,2023,New York Knicks,47,35,.573,11.0,116.0,113.1,2.99
35,2023,Brooklyn Nets,45,37,.549,13.0,113.4,112.5,1.03
36,2023,Miami Heat,44,38,.537,14.0,109.5,109.8,-0.13
37,2023,Atlanta Hawks,41,41,.500,17.0,118.4,118.1,0.32
38,2023,Toronto Raptors,41,41,.500,17.0,112.9,111.4,1.59
39,2023,Chicago Bulls,40,42,.488,18.0,113.1,111.8,1.37
40,2023,Indiana Pacers,35,47,.427,23.0,116.3,119.5,-2.91
41,2023,Washington Wizards,35,47,.427,23.0,113.2,114.4,-1.06
42,2023,Orlando Magic,34,48,.415,24.0,111.4,114.0,-2.39
43,2023,Charlotte Hornets,27,55,.329,31.0,111.0,117.2,-5.89
44,2023,Detroit Pistons,17,65,.207,41.0,110.3,118.5,-7.73
45,2023,Denver Nuggets,53,29,.646,—,115.8,112.5,3.04
46,2023,Memphis Grizzlies,51,31,.622,2.0,116.9,113.0,3.60
47,2023,Sacramento Kings,48,34,.585,5.0,120.7,118.1,2.30
48,2023,Phoenix Suns,45,37,.549,8.0,113.6,111.6,2.08
49,2023,Los Angeles Clippers,44,38,.537,9.0,113.6,113.1,0.31
50,2023,Golden State Warriors,44,38,.537,9.0,118.9,117.1,1.66
51,2023,Los Angeles Lakers,43,39,.524,10.0,117.2,116.6,0.43
52,2023,Minnesota Timberwolves,42,40,.512,11.0,115.8,115.8,-0.22
53,2023,New Orleans Pelicans,42,40,.512,11.0,114.4,112.5,1.63
54,2023,Oklahoma City Thunder,40,42,.488,13.0,117.5,116.4,0.96
55,2023,Dallas Mavericks,38,44,.463,15.0,114.2,114.1,-0.14
56,2023,Utah Jazz,37,45,.451,16.0,117.1,118.0,-1.03
57,2023,Portland Trail Blazers,33,49,.402,20.0,113.4,117.4,-3.96
58,2023,Houston Rockets,22,60,.268,31.0,110.7,118.6,-7.62
59,2023,San Antonio Spurs,22,60,.268,31.0,113.0,123.1,-9.82
60,2023,Denver Nuggets,53,29,.646,—,115.8,112.5,3.04
61,2023,Memphis Grizzlies,51,31,.622,2.0,116.9,113.0,3.60
62,2023,Sacramento Kings,48,34,.585,5.0,120.7,118.1,2.30
63,2023,Phoenix Suns,45,37,.549,8.0,113.6,111.6,2.08
64,2023,Los Angeles Clippers,44,38,.537,9.0,113.6,113.1,0.31
65,2023,Golden State Warriors,44,38,.537,9.0,118.9,117.1,1.66
66,2023,Los Angeles Lakers,43,39,.524,10.0,117.2,116.6,0.43
67,2023,Minnesota Timberwolves,42,40,.512,11.0,115.8,115.8,-0.22
68,2023,New Orleans Pelicans,42,40,.512,11.0,114.4,112.5,1.63
69,2023,Oklahoma City Thunder,40,42,.488,13.0,117.5,116.4,0.96
70,2023,Dallas Mavericks,38,44,.463,15.0,114.2,114.1,-0.14
71,2023,Utah Jazz,37,45,.451,16.0,117.1,118.0,-1.03
72,2023,Portland Trail Blazers,33,49,.402,20.0,113.4,117.4,-3.96
73,2023,Houston Rockets,22,60,.268,31.0,110.7,118.6,-7.62
74,2023,San Antonio Spurs,22,60,.268,31.0,113.0,123.1,-9.82
75,2023,Denver Nuggets,53,29,.646,—,115.8,112.5,3.04
76,2023,Memphis Grizzlies,51,31,.622,2.0,116.9,113.0,3.60
77,2023,Sacramento Kings,48,34,.585,5.0,120.7,118.1,2.30
78,2023,Phoenix Suns,45,37,.549,8.0,113.6,111.6,2.08
79,2023,Los Angeles Clippers,44,38,.537,9.0,113.6,113.1,0.31
80,2023,Golden State Warriors,44,38,.537,9.0,118.9,117.1,1.66
81,2023,Los Angeles Lakers,43,39,.524,10.0,117.2,116.6,0.43
82,2023,Minnesota Timberwolves,42,40,.512,11.0,115.8,115.8,-0.22
83,2023,New Orleans Pelicans,42,40,.512,11.0,114.4,112.5,1.63
84,2023,Oklahoma City Thunder,40,42,.488,13.0,117.5,116.4,0.96
85,2023,Dallas Mavericks,38,44,.463,15.0,114.2,114.1,-0.14
86,2023,Utah Jazz,37,45,.451,16.0,117.1,118.0,-1.03
87,2023,Portland Trail Blazers,33,49,.402,20.0,113.4,117.4,-3.96
88,2023,Houston Rockets,22,60,.268,31.0,110.7,118.6,-7.62
89,2023,San Antonio Spurs,22,60,.268,31.0,113.0,123.1,-9.82
90,2022,Miami Heat,53,29,.646,—,110.0,105.6,4.23
91,2022,Boston Celtics,51,31,.622,2.0,111.8,104.5,7.02
92,2022,Milwaukee Bucks,51,31,.622,2.0,115.5,112.1,3.22
93,2022,Philadelphia 76ers,51,31,.622,2.0,109.9,107.3,2.57
94,2022,Toronto Raptors,48,34,.585,5.0,109.4,107.1,2.38
95,2022,Chicago Bulls,46,36,.561,7.0,111.6,112.0,-0.38
96,2022,Brooklyn Nets,44,38,.537,9.0,112.9,112.1,0.82
97,2022,Cleveland Cavaliers,44,38,.537,9.0,107.8,105.7,2.04
98,2022,Atlanta Hawks,43,39,.524,10.0,113.9,112.4,1.55
99,2022,Charlotte Hornets,43,39,.524,10.0,115.3,114.9,0.53
100,2022,New York Knicks,37,45,.451,16.0,106.5,106.6,-0.01
101,2022,Washington Wizards,35,47,.427,18.0,108.6,112.0,-3.23
102,2022,Indiana Pacers,25,57,.305,28.0,111.5,114.9,-3.26
103,2022,Detroit Pistons,23,59,.280,30.0,104.8,112.5,-7.36
104,2022,Orlando Magic,22,60,.268,31.0,104.2,112.2,-7.67
105,2022,Miami Heat,53,29,.646,—,110.0,105.6,4.23
106,2022,Boston Celtics,51,31,.622,2.0,111.8,104.5,7.02
107,2022,Milwaukee Bucks,51,31,.622,2.0,115.5,112.1,3.22
108,2022,Philadelphia 76ers,51,31,.622,2.0,109.9,107.3,2.57
109,2022,Toronto Raptors,48,34,.585,5.0,109.4,107.1,2.38
110,2022,Chicago Bulls,46,36,.561,7.0,111.6,112.0,-0.38
111,2022,Brooklyn Nets,44,38,.537,9.0,112.9,112.1,0.82
112,2022,Cleveland Cavaliers,44,38,.537,9.0,107.8,105.7,2.04
113,2022,Atlanta Hawks,43,39,.524,10.0,113.9,112.4,1.55
114,2022,Charlotte Hornets,43,39,.524,10.0,115.3,114.9,0.53
115,2022,New York Knicks,37,45,.451,16.0,106.5,106.6,-0.01
116,2022,Washington Wizards,35,47,.427,18.0,108.6,112.0,-3.23
117,2022,Indiana Pacers,25,57,.305,28.0,111.5,114.9,-3.26
118,2022,Detroit Pistons,23,59,.280,30.0,104.8,112.5,-7.36
119,2022,Orlando Magic,22,60,.268,31.0,104.2,112.2,-7.67
120,2022,Miami Heat,53,29,.646,—,110.0,105.6,4.23
121,2022,Boston Celtics,51,31,.622,2.0,111.8,104.5,7.02
122,2022,Milwaukee Bucks,51,31,.622,2.0,115.5,112.1,3.22
123,2022,Philadelphia 76ers,51,31,.622,2.0,109.9,107.3,2.57
124,2022,Toronto Raptors,48,34,.585,5.0,109.4,107.1,2.38
125,2022,Chicago Bulls,46,36,.561,7.0,111.6,112.0,-0.38
126,2022,Brooklyn Nets,44,38,.537,9.0,112.9,112.1,0.82
127,2022,Cleveland Cavaliers,44,38,.537,9.0,107.8,105.7,2.04
128,2022,Atlanta Hawks,43,39,.524,10.0,113.9,112.4,1.55
129,2022,Charlotte Hornets,43,39,.524,10.0,115.3,114.9,0.53
130,2022,New York Knicks,37,45,.451,16.0,106.5,106.6,-0.01
131,2022,Washington Wizards,35,47,.427,18.0,108.6,112.0,-3.23
132,2022,Indiana Pacers,25,57,.305,28.0,111.5,114.9,-3.26
133,2022,Detroit Pistons,23,59,.280,30.0,104.8,112.5,-7.36
134,2022,Orlando Magic,22,60,.268,31.0,104.2,112.2,-7.67
135,2022,Phoenix Suns,64,18,.780,—,114.8,107.3,6.94
136,2022,Memphis Grizzlies,56,26,.683,8.0,115.6,109.9,5.37
137,2022,Golden State Warriors,53,29,.646,11.0,111.0,105.5,5.52
138,2022,Dallas Mavericks,52,30,.634,12.0,108.0,104.7,3.12
139,2022,Utah Jazz,49,33,.598,15.0,113.6,107.6,5.67
140,2022,Denver Nuggets,48,34,.585,16.0,112.7,110.4,2.16
141,2022,Minnesota Timberwolves,46,36,.561,18.0,115.9,113.3,2.53
142,2022,Los Angeles Clippers,42,40,.512,22.0,108.4,108.4,0.09
143,2022,New Orleans Pelicans,36,46,.439,28.0,109.3,110.3,-0.84
144,2022,San Antonio Spurs,34,48,.415,30.0,113.2,113.0,0.02
145,2022,Los Angeles Lakers,33,49,.402,31.0,112.1,115.1,-3.08
146,2022,Sacramento Kings,30,52,.366,34.0,110.3,115.8,-5.26
147,2022,Portland Trail Blazers,27,55,.329,37.0,106.2,115.1,-8.55
148,2022,Oklahoma City Thunder,24,58,.293,40.0,103.7,111.8,-7.90
149,2022,Houston Rockets,20,62,.244,44.0,109.7,118.2,-8.26
150,2022,Phoenix Suns,64,18,.780,—,114.8,107.3,6.94
151,2022,Memphis Grizzlies,56,26,.683,8.0,115.6,109.9,5.37
152,2022,Golden State Warriors,53,29,.646,11.0,111.0,105.5,5.52
153,2022,Dallas Mavericks,52,30,.634,12.0,108.0,104.7,3.12
154,2022,Utah Jazz,49,33,.598,15.0,113.6,107.6,5.67
155,2022,Denver Nuggets,48,34,.585,16.0,112.7,110.4,2.16
156,2022,Minnesota Timberwolves,46,36,.561,18.0,115.9,113.3,2.53
157,2022,Los Angeles Clippers,42,40,.512,22.0,108.4,108.4,0.09
158,2022,New Orleans Pelicans,36,46,.439,28.0,109.3,110.3,-0.84
159,2022,San Antonio Spurs,34,48,.415,30.0,113.2,113.0,0.02
160,2022,Los Angeles Lakers,33,49,.402,31.0,112.1,115.1,-3.08
161,2022,Sacramento Kings,30,52,.366,34.0,110.3,115.8,-5.26
162,2022,Portland Trail Blazers,27,55,.329,37.0,106.2,115.1,-8.55
163,2022,Oklahoma City Thunder,24,58,.293,40.0,103.7,111.8,-7.90
164,2022,Houston Rockets,20,62,.244,44.0,109.7,118.2,-8.26
165,2022,Phoenix Suns,64,18,.780,—,114.8,107.3,6.94
166,2022,Memphis Grizzlies,56,26,.683,8.0,115.6,109.9,5.37
167,2022,Golden State Warriors,53,29,.646,11.0,111.0,105.5,5.52
168,2022,Dallas Mavericks,52,30,.634,12.0,108.0,104.7,3.12
169,2022,Utah Jazz,49,33,.598,15.0,113.6,107.6,5.67
170,2022,Denver Nuggets,48,34,.585,16.0,112.7,110.4,2.16
